"source_id","name","original_level","contact_sheet","runtime_state_rows","internal_helper_classes","empty_state_frames","automated_status","visual_review_status","visual_review_note"
"1001","鸡","0","contact-sheets/animals/animal-1001.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；状态3交互提示与状态4至6生产/结束标记符合原版设计"
"1002","兔子","1","contact-sheets/animals/animal-1002.png","6","12","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1007","乌龟","10","contact-sheets/animals/animal-1007.png","6","5","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1017","炫舞龟","10","contact-sheets/animals/animal-1017.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1505","梅花鹿","11","contact-sheets/animals/animal-1505.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1008","松鼠","12","contact-sheets/animals/animal-1008.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1009","波斯猫","13","contact-sheets/animals/animal-1009.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1012","鸭","14","contact-sheets/animals/animal-1012.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1015","乌骨鸡","14","contact-sheets/animals/animal-1015.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1507","羚羊","15","contact-sheets/animals/animal-1507.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1510","长颈鹿","16","contact-sheets/animals/animal-1510.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1010","仓鼠","17","contact-sheets/animals/animal-1010.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
