"source_id","name","set_name","item_type_name","contact_sheet","selected_source_kind","automated_status","visual_review_status","visual_review_note"
"11","春日风车背景","荷兰葵花系列","background","contact-sheets/decorations/decoration-011.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"12","绿顶小木屋","荷兰葵花系列","house","contact-sheets/decorations/decoration-012.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"13","爱心木栅栏","荷兰葵花系列","fence","contact-sheets/decorations/decoration-013.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"14","木制小狗窝","荷兰葵花系列","doghouse","contact-sheets/decorations/decoration-014.png","swf-content-frame","ready-for-visual-review","reviewed-with-note","完整轮廓同帧包含狗窝和远端设施，接入静态场景前确认是否保留整帧。"
"16","圣诞快乐","圣诞快乐","background","contact-sheets/decorations/decoration-016.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"17","圣诞雪屋","圣诞快乐","house","contact-sheets/decorations/decoration-017.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"18","小院围墙","圣诞快乐","fence","contact-sheets/decorations/decoration-018.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"19","圣诞狗窝","圣诞快乐","doghouse","contact-sheets/decorations/decoration-019.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"21","春天的故事","春天的故事","background","contact-sheets/decorations/decoration-021.png","blocked-missing-source","blocked-missing-source","blocked-missing-source","missing-swf-and-full-image"
"22","春天小屋","春天的故事","house","contact-sheets/decorations/decoration-022.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"23","春天围墙","春天的故事","fence","contact-sheets/decorations/decoration-023.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"24","春天狗窝","春天的故事","doghouse","contact-sheets/decorations/decoration-024.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"26","新年快乐","新年快乐","background","contact-sheets/decorations/decoration-026.png","full-image","ready-for-visual-review","reviewed-ok",""
"27","新年小屋","新年快乐","house","contact-sheets/decorations/decoration-027.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"28","新年围墙","新年快乐","fence","contact-sheets/decorations/decoration-028.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"29","新年狗窝","新年快乐","doghouse","contact-sheets/decorations/decoration-029.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"31","夏日海滩","夏日海滩","background","contact-sheets/decorations/decoration-031.png","full-image","ready-for-visual-review","reviewed-ok",""
"32","海滩别墅","夏日海滩","house","contact-sheets/decorations/decoration-032.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"33","海滩栅栏","夏日海滩","fence","contact-sheets/decorations/decoration-033.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"34","海滩狗窝","夏日海滩","doghouse","contact-sheets/decorations/decoration-034.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"41","浓情原野","青春草原套装","background","contact-sheets/decorations/decoration-041.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"42","温情蒙古包","青春草原套装","house","contact-sheets/decorations/decoration-042.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"43","怡情围毡","青春草原套装","fence","contact-sheets/decorations/decoration-043.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"44","风情獒窝","青春草原套装","doghouse","contact-sheets/decorations/decoration-044.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"45","魔幻乐园背景","魔幻乐园套装","background","contact-sheets/decorations/decoration-045.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"46","蘑菇小屋","魔幻乐园套装","house","contact-sheets/decorations/decoration-046.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"47","迷幻栅栏","魔幻乐园套装","fence","contact-sheets/decorations/decoration-047.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"48","迷你狗窝","魔幻乐园套装","doghouse","contact-sheets/decorations/decoration-048.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"49","欧洲田园风光","欧洲田园风光","background","contact-sheets/decorations/decoration-049.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"50","欧式简装别墅","欧洲田园风光","house","contact-sheets/decorations/decoration-050.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"51","欧式栅栏","欧洲田园风光","fence","contact-sheets/decorations/decoration-051.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"52","欧洲风情小狗窝","欧洲田园风光","doghouse","contact-sheets/decorations/decoration-052.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"53","阿尔卑斯山风光","阿尔卑斯山风光","background","contact-sheets/decorations/decoration-053.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"54","山脚下小屋","阿尔卑斯山风光","house","contact-sheets/decorations/decoration-054.png","swf-content-frame","ready-for-visual-review","reviewed-with-note","完整轮廓同帧包含房屋主体和左侧独立立柱。"
"55","阿尔卑斯特产栅栏","阿尔卑斯山风光","fence","contact-sheets/decorations/decoration-055.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"56","阿尔卑斯特产狗屋","阿尔卑斯山风光","doghouse","contact-sheets/decorations/decoration-056.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"57","地中海风情","地中海套装","background","contact-sheets/decorations/decoration-057.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"58","迷情蓝堡","地中海套装","house","contact-sheets/decorations/decoration-058.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"59","白沙围廊","地中海套装","fence","contact-sheets/decorations/decoration-059.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"60","贝鲁特犬舍","地中海套装","doghouse","contact-sheets/decorations/decoration-060.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"61","仙踪林背景","仙踪林套装","background","contact-sheets/decorations/decoration-061.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"62","豪华别墅","仙踪林套装","house","contact-sheets/decorations/decoration-062.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"63","木制栅栏","仙踪林套装","fence","contact-sheets/decorations/decoration-063.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"64","豪华狗窝","仙踪林套装","doghouse","contact-sheets/decorations/decoration-064.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"65","水果熟啦背景","入秋套装","background","contact-sheets/decorations/decoration-065.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"66","动漫小屋","入秋套装","house","contact-sheets/decorations/decoration-066.png","swf-content-frame","ready-for-visual-review","reviewed-with-note","完整轮廓同帧包含房屋主体及上方角色装饰。"
"67","铅笔栅栏","入秋套装","fence","contact-sheets/decorations/decoration-067.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"68","可爱狗窝","入秋套装","doghouse","contact-sheets/decorations/decoration-068.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"69","荷塘夜色背景","水墨荷塘套装","background","contact-sheets/decorations/decoration-069.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"70","两楼小屋","水墨荷塘套装","house","contact-sheets/decorations/decoration-070.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"71","石柱栅栏","水墨荷塘套装","fence","contact-sheets/decorations/decoration-071.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"72","复古狗窝","水墨荷塘套装","doghouse","contact-sheets/decorations/decoration-072.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"73","月光狂想背景","月光狂想背景","background","contact-sheets/decorations/decoration-073.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"74","精灵小屋","精灵小屋","house","contact-sheets/decorations/decoration-074.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"75","月下连桩","月下连桩","fence","contact-sheets/decorations/decoration-075.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"76","光影狗窝","光影狗窝","doghouse","contact-sheets/decorations/decoration-076.png","swf-content-frame","ready-for-visual-review","reviewed-with-note","完整轮廓同帧包含狗窝主体和右侧独立枯枝。"
"77","操场背景","回归学校套装","background","contact-sheets/decorations/decoration-077.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"78","教学大楼","回归学校套装","house","contact-sheets/decorations/decoration-078.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"79","树木栅栏","回归学校套装","fence","contact-sheets/decorations/decoration-079.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"80","平顶狗窝","回归学校套装","doghouse","contact-sheets/decorations/decoration-080.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"81","大自然背景","熊猫套装","background","contact-sheets/decorations/decoration-081.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"82","树制小屋","熊猫套装","house","contact-sheets/decorations/decoration-082.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"83","木制栅栏","熊猫套装","fence","contact-sheets/decorations/decoration-083.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"84","树桩狗窝","熊猫套装","doghouse","contact-sheets/decorations/decoration-084.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"85","甜心广场背景","甜心农场套装","background","contact-sheets/decorations/decoration-085.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"86","糖果小屋","甜心农场套装","house","contact-sheets/decorations/decoration-086.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"87","棒棒糖栅栏","甜心农场套装","fence","contact-sheets/decorations/decoration-087.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"88","甜点狗窝","甜心农场套装","doghouse","contact-sheets/decorations/decoration-088.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"89","鹊桥相间背景","浪漫七夕套装","background","contact-sheets/decorations/decoration-089.png","swf-stage-frame","ready-for-visual-review","reviewed-with-note","源 SWF 的耕地区域呈黑色占位，接入时需用实际耕地覆层验证。"
"90","望月楼","浪漫七夕套装","house","contact-sheets/decorations/decoration-090.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"91","矮围墙","浪漫七夕套装","fence","contact-sheets/decorations/decoration-091.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"92","狗亭","浪漫七夕套装","doghouse","contact-sheets/decorations/decoration-092.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"93","厮守终生背景","相爱永远套装","background","contact-sheets/decorations/decoration-093.png","swf-stage-frame","ready-for-visual-review","reviewed-with-note","源 SWF 的耕地区域呈黑色占位，接入时需用实际耕地覆层验证。"
"94","浪漫满屋","相爱永远套装","house","contact-sheets/decorations/decoration-094.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"95","浪漫栅栏","相爱永远套装","fence","contact-sheets/decorations/decoration-095.png","swf-content-frame","ready-for-visual-review","reviewed-ok","source-files-reused-by-402"
"96","粉色狗窝","相爱永远套装","doghouse","contact-sheets/decorations/decoration-096.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"97","狮子座背景","梦幻星空套装","background","contact-sheets/decorations/decoration-097.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"98","豪华城堡","梦幻星空套装","house","contact-sheets/decorations/decoration-098.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"99","铁栅栏","梦幻星空套装","fence","contact-sheets/decorations/decoration-099.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"100","看门狗窝","梦幻星空套装","doghouse","contact-sheets/decorations/decoration-100.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"201","沙漠背景","沙漠套装","background","contact-sheets/decorations/decoration-201.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"202","沙漠小屋","沙漠套装","house","contact-sheets/decorations/decoration-202.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"203","沙漠栅栏","沙漠套装","fence","contact-sheets/decorations/decoration-203.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"204","沙漠狗窝","沙漠套装","doghouse","contact-sheets/decorations/decoration-204.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"205","都市霓虹背景","都市霓虹套装","background","contact-sheets/decorations/decoration-205.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"206","玻璃花房","都市霓虹套装","house","contact-sheets/decorations/decoration-206.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"207","白金花栏","都市霓虹套装","fence","contact-sheets/decorations/decoration-207.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"208","花亭小窝","都市霓虹套装","doghouse","contact-sheets/decorations/decoration-208.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"209","入学啦背景","校友套装","background","contact-sheets/decorations/decoration-209.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"210","校友教学楼","校友套装","house","contact-sheets/decorations/decoration-210.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"211","红旗飘飘","校友套装","fence","contact-sheets/decorations/decoration-211.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"212","门卫室","校友套装","doghouse","contact-sheets/decorations/decoration-212.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"213","碧草云天背景","碧草云天套装","background","contact-sheets/decorations/decoration-213.png","swf-stage-frame","ready-for-visual-review","reviewed-with-note","源 SWF 中心存在大面积白色占位，接入时需用实际耕地覆层验证。"
"214","风情木屋","碧草云天套装","house","contact-sheets/decorations/decoration-214.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"215","积木栅栏","碧草云天套装","fence","contact-sheets/decorations/decoration-215.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"216","简约狗窝","碧草云天套装","doghouse","contact-sheets/decorations/decoration-216.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"225","乡间小路","小镇风情套装","background","contact-sheets/decorations/decoration-225.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"226","烟囱小屋","小镇风情套装","house","contact-sheets/decorations/decoration-226.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"227","休闲躺椅","小镇风情套装","fence","contact-sheets/decorations/decoration-227.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"228","黑瓦狗窝","小镇风情套装","doghouse","contact-sheets/decorations/decoration-228.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"229","蓝色海洋","去海边吧套装","background","contact-sheets/decorations/decoration-229.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"230","红瓦小屋","去海边吧套装","house","contact-sheets/decorations/decoration-230.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"231","木桩阑珊","去海边吧套装","fence","contact-sheets/decorations/decoration-231.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"232","红瓦狗窝","去海边吧套装","doghouse","contact-sheets/decorations/decoration-232.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"233","浓情绿野背景","浓情绿野套装","background","contact-sheets/decorations/decoration-233.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"234","尚品小屋","浓情绿野套装","house","contact-sheets/decorations/decoration-234.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"235","云白排桩","浓情绿野套装","fence","contact-sheets/decorations/decoration-235.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"236","名雅小窝","浓情绿野套装","doghouse","contact-sheets/decorations/decoration-236.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"237","圣诞背景","圣诞节题套装","background","contact-sheets/decorations/decoration-237.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"238","圣诞小屋","圣诞节套装","house","contact-sheets/decorations/decoration-238.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"239","圣诞红栏","圣诞节套装","fence","contact-sheets/decorations/decoration-239.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"240","圣诞小窝","圣诞节套装","doghouse","contact-sheets/decorations/decoration-240.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"241","新年快乐背景","新年快乐套装","background","contact-sheets/decorations/decoration-241.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"242","春雪小屋","新年快乐套装","house","contact-sheets/decorations/decoration-242.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"243","春雪红栏","新年快乐套装","fence","contact-sheets/decorations/decoration-243.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"244","春雪小窝","新年快乐套装","doghouse","contact-sheets/decorations/decoration-244.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"245","世博家园背景","世博主题套装","background","contact-sheets/decorations/decoration-245.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"246","中国馆小屋","世博主题套装","house","contact-sheets/decorations/decoration-246.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"247","绿草红栏","世博主题套装","fence","contact-sheets/decorations/decoration-247.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"248","红乐小窝","世博主题套装","doghouse","contact-sheets/decorations/decoration-248.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"249","虎年新春背景","虎年新春","background","contact-sheets/decorations/decoration-249.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"250","虎年大屋","虎年新春","house","contact-sheets/decorations/decoration-250.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"251","新年红栏","虎年新春","fence","contact-sheets/decorations/decoration-251.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"252","新春狗窝","虎年新春","doghouse","contact-sheets/decorations/decoration-252.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"253","董衣草之恋背景","董衣草之恋套装","background","contact-sheets/decorations/decoration-253.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"254","董衣草之恋大屋","董衣草之恋套装","house","contact-sheets/decorations/decoration-254.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"255","董衣草之恋红栏","董衣草之恋套装","fence","contact-sheets/decorations/decoration-255.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"256","董衣草之恋狗窝","董衣草之恋套装","doghouse","contact-sheets/decorations/decoration-256.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"257","熊猫宝贝背景","熊猫宝贝套装","background","contact-sheets/decorations/decoration-257.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"258","熊猫宝贝大屋","熊猫宝贝套装","house","contact-sheets/decorations/decoration-258.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"259","熊猫宝贝红栏","熊猫宝贝套装","fence","contact-sheets/decorations/decoration-259.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"260","熊猫宝贝狗窝","熊猫宝贝套装","doghouse","contact-sheets/decorations/decoration-260.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"261","公益背景","公益套装","background","contact-sheets/decorations/decoration-261.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"262","公益大屋","公益套装","house","contact-sheets/decorations/decoration-262.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"263","公益围栏","公益套装","fence","contact-sheets/decorations/decoration-263.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"264","公益狗窝","公益套装","doghouse","contact-sheets/decorations/decoration-264.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"265","三亚背景","三亚套装","background","contact-sheets/decorations/decoration-265.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"266","三亚大屋","三亚套装","house","contact-sheets/decorations/decoration-266.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"267","三亚围栏","三亚套装","fence","contact-sheets/decorations/decoration-267.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"268","三亚狗窝","三亚套装","doghouse","contact-sheets/decorations/decoration-268.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"269","绿色背景","农场绿色装扮","background","contact-sheets/decorations/decoration-269.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"270","绿色大屋","农场绿色装扮","house","contact-sheets/decorations/decoration-270.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"271","绿色围栏","农场绿色装扮","fence","contact-sheets/decorations/decoration-271.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"272","绿色狗窝","农场绿色装扮","doghouse","contact-sheets/decorations/decoration-272.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"273","心相印背景","心心相印套装","background","contact-sheets/decorations/decoration-273.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"274","心相印大屋","心心相印套装","house","contact-sheets/decorations/decoration-274.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"275","心相印围栏","心心相印套装","fence","contact-sheets/decorations/decoration-275.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"276","心相印狗窝","心心相印套装","doghouse","contact-sheets/decorations/decoration-276.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"277","QQ返利背景","QQ返利套装","background","contact-sheets/decorations/decoration-277.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"278","QQ返利小屋","QQ返利套装","house","contact-sheets/decorations/decoration-278.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"279","QQ返利围栏","QQ返利套装","fence","contact-sheets/decorations/decoration-279.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"280","QQ返利狗窝","QQ返利套装","doghouse","contact-sheets/decorations/decoration-280.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"400","新年快乐","新年快乐","background","contact-sheets/decorations/decoration-400.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"401","新年小屋","新年快乐","house","contact-sheets/decorations/decoration-401.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"402","新年围墙","新年快乐","fence","contact-sheets/decorations/decoration-402.png","blocked-conflicting-source","blocked-conflicting-source","blocked-conflicting-source","conflicts-with-config-name-duplicates-95"
"403","新年狗窝","新年快乐","doghouse","contact-sheets/decorations/decoration-403.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"404","简单世界","简单世界","background","contact-sheets/decorations/decoration-404.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"405","简单小屋","简单世界","house","contact-sheets/decorations/decoration-405.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"406","简单围墙","简单世界","fence","contact-sheets/decorations/decoration-406.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"407","简单狗窝","简单世界","doghouse","contact-sheets/decorations/decoration-407.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"408","桃花源记","桃花源记","background","contact-sheets/decorations/decoration-408.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"409","桃花小屋","桃花源记","house","contact-sheets/decorations/decoration-409.png","swf-content-frame","ready-for-visual-review","reviewed-with-note","完整轮廓含远离房屋主体的装饰元素，接入前需确认动画裁剪和锚点。"
"410","桃花围墙","桃花源记","fence","contact-sheets/decorations/decoration-410.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"411","桃花狗窝","桃花源记","doghouse","contact-sheets/decorations/decoration-411.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"412","星际地面","天外来客","background","contact-sheets/decorations/decoration-412.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"413","天外来客","天外来客","house","contact-sheets/decorations/decoration-413.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"414","外星栅栏","天外来客","fence","contact-sheets/decorations/decoration-414.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"415","蛋壳狗窝","天外来客","doghouse","contact-sheets/decorations/decoration-415.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"416","冰天雪地","雪山飞狐","background","contact-sheets/decorations/decoration-416.png","swf-stage-frame","ready-for-visual-review","reviewed-ok",""
"417","雪原小屋","雪山飞狐","house","contact-sheets/decorations/decoration-417.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"418","木质栅栏","雪山飞狐","fence","contact-sheets/decorations/decoration-418.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
"419","别墅狗窝","雪山飞狐","doghouse","contact-sheets/decorations/decoration-419.png","swf-content-frame","ready-for-visual-review","reviewed-ok",""
