"source_id","name","review_status","review_note"
"1001","鸡","reviewed-ok","六个运行时状态顺序清晰；状态3交互提示与状态4至6生产/结束标记符合原版设计"
"1002","兔子","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1003","鹅","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1004","猫","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1005","孔雀","reviewed-ok","六个运行时状态顺序清晰；开屏与成群状态符合原版阶段设计"
"1006","企鹅","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1007","乌龟","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1008","松鼠","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1009","波斯猫","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1010","仓鼠","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1011","刺猬","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1012","鸭","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1013","鼹鼠","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1014","挪威森林猫","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1015","乌骨鸡","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1016","美国短毛猫","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1017","炫舞龟","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1018","穿山甲","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1019","紫貂","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1501","羊","reviewed-ok","六个运行时状态顺序清晰；成群与剪毛标记符合原版阶段设计"
"1502","牛","reviewed-ok","六个运行时状态顺序清晰；成群与产奶标记符合原版阶段设计"
"1503","猴子","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1504","袋鼠","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1505","梅花鹿","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1507","羚羊","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1508","鸵鸟","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1509","浣熊","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1510","长颈鹿","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1511","丹顶鹤","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1512","貔貅","reviewed-ok","六个运行时状态顺序清晰；状态3双手交互提示符合原版设计"
"1513","双峰驼","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1514","犀牛","reviewed-with-note","状态4导出3帧且三帧SHA-256完全相同；静态联系表使用首帧，视觉内容完整"
"1515","猩猩","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1516","河马","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1517","火烈鸟","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
