"scope","source_id","name","severity","issue","status","recommended_action","evidence"
"decoration","21","春天的故事","blocking","只有商店预览和缩略图，缺少 SWF 与全尺寸背景，当前仓库无法恢复运行时成品","source-blocked","继续阻止默认接入；仅在取得其他原版备份后补源并重新验收","decorations.csv; decoration-visual-review.csv"
"decoration","402","新年围墙","blocking","SWF、预览图和缩略图与 ID 95 二进制完全相同，但配置名称和套装身份冲突","source-conflict","保留业务 ID 但继续阻止默认接入；取得权威源后再决定替换或确认复用","duplicates.csv; decorations.csv; decoration-visual-review.csv"
"decoration","14","木制小狗窝","warning","完整轮廓同帧包含狗窝和远端设施，静态接入可能引入非目标元素","integration-check-required","接入前在实际场景验证动画、裁剪范围和锚点","decoration-visual-review.csv"
"decoration","54","山脚下小屋","warning","完整轮廓同帧包含房屋主体和左侧独立立柱","integration-check-required","接入前在实际场景确认独立立柱是否应保留及锚点位置","decoration-visual-review.csv"
"decoration","66","动漫小屋","warning","完整轮廓同帧包含房屋主体和上方角色装饰","integration-check-required","接入前验证动画边界并确认上方装饰是否属于成品","decoration-visual-review.csv"
"decoration","76","光影狗窝","warning","完整轮廓同帧包含狗窝主体和右侧独立枯枝","integration-check-required","接入前验证裁剪范围、动画和锚点","decoration-visual-review.csv"
"decoration","89","鹊桥相间背景","warning","源 SWF 耕地区域呈黑色占位","integration-check-required","接入时使用真实耕地覆层验证遮罩和层级","decoration-visual-review.csv"
"decoration","93","厮守终生背景","warning","源 SWF 耕地区域呈黑色占位","integration-check-required","接入时使用真实耕地覆层验证遮罩和层级","decoration-visual-review.csv"
"decoration","213","碧草云天背景","warning","源 SWF 中心存在大面积白色占位","integration-check-required","接入时使用真实耕地覆层验证遮罩和层级","decoration-visual-review.csv"
"decoration","409","桃花小屋","warning","完整轮廓包含远离房屋主体的装饰元素","integration-check-required","接入前确认动画裁剪范围和锚点","decoration-visual-review.csv"
"pasture-sound","1007","乌龟","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
"pasture-sound","1017","炫舞龟","warning","原仓库没有声音变体 1 或 2","source-gap","玩法接入时使用静音或明确的共享回退音；不要伪造原版对应关系","sound-assets.csv"
"pasture-sound","1015","乌骨鸡","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
"pasture-sound","1510","长颈鹿","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
"pasture-sound","1010","仓鼠","warning","原仓库没有声音变体 1 或 2","source-gap","玩法接入时使用静音或明确的共享回退音；不要伪造原版对应关系","sound-assets.csv"
"pasture-sound","1016","美国短毛猫","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
"pasture-sound","1018","穿山甲","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
"pasture-sound","1512","貔貅","warning","原仓库只有声音变体 2，缺少变体 1","source-gap","玩法接入时允许单声音回退；若找到原版备份再补齐变体 1","sound-assets.csv"
